"";"Código.Municipio";"Nombre.Municipio";"Puntaje"
"134";8436;"MANATÍ";37,8520858676208
"135";8520;"PALMAR DE VARELA";44,5877724810401
"136";8549;"PIOJÓ";40,4350572831424
"137";8558;"POLONUEVO";41,7968065268065
"138";8560;"PONEDERA";40,1197626841244
"139";8573;"PUERTO COLOMBIA";46,129507346586
"140";8606;"REPELÓN";39,7707128768667
"141";8634;"SABANAGRANDE";43,7514411602717
"142";8638;"SABANALARGA";41,7675795696707
"143";8675;"SANTA LUCÍA";38,7558146577832
"144";8685;"SANTO TOMÁS";43,3132655325444
"145";8758;"SOLEDAD";44,0129323969824
"146";8770;"SUAN";41,3235951991271
"147";8832;"TUBARÁ";41,6331523378582
"148";8849;"USIACURÍ";40,1107692307692
"149";11001;"BOGOTÁ, D.C.";NA
"150";13001;"CARTAGENA DE INDIAS";44,0685774152922
"151";13006;"ACHÍ";40,3929818181818
"152";13030;"ALTOS DEL ROSARIO";40,9135627530364
"153";13042;"ARENAL";40,0566615384615
"154";13052;"ARJONA";41,5898883928571
"155";13062;"ARROYOHONDO";39,1789458689459
"156";13074;"BARRANCO DE LOBA";39,9084665012407
"157";13140;"CALAMAR";38,8240474221119
"158";13160;"CANTAGALLO";40,9925641025641
"159";13188;"CICUCO";41,5662789243277
"160";13212;"CÓRDOBA";41,6238511166253
"161";13222;"CLEMENCIA";39,6774024526198
"162";13244;"EL CARMEN DE BOLÍVAR";41,0605914739657
"163";13248;"EL GUAMO";40,0692230769231
"164";13268;"EL PEÑÓN";41,617967032967
"165";13300;"HATILLO DE LOBA";39,7463988603989
"166";13430;"MAGANGUÉ";43,4195054945055
"167";13433;"MAHATES";39,3051554487179
"168";13440;"MARGARITA";40,1917373103087
"169";13442;"MARÍA LA BAJA";41,5182623236877
"170";13458;"MONTECRISTO";41,1246153846154
"171";13468;"MOMPÓS";41,8995622545623
"172";13473;"MORALES";41,4093487993488
"173";13549;"PINILLOS";39,6157564575646
"174";13580;"REGIDOR";37,9052917771883
"175";13600;"RÍO VIEJO";40,1245467032967
"176";13620;"SAN CRISTÓBAL";41,828785046729
"177";13647;"SAN ESTANISLAO";39,5725154939847
"178";13650;"SAN FERNANDO";39,6918114143921
"179";13654;"SAN JACINTO";42,8861149524633
"180";13655;"SAN JACINTO DEL CAUCA";40,8095248868778
"181";13657;"SAN JUAN NEPOMUCENO";41,9932463369963
"182";13667;"SAN MARTÍN DE LOBA";41,6229138603332
"183";13670;"SAN PABLO";41,6952516888211
"184";13673;"SANTA CATALINA";41,9603649635037
"185";13683;"SANTA ROSA";38,9680990274094
"186";13688;"SANTA ROSA DEL SUR";45,0464983664984
"187";13744;"SIMITÍ";42,7824382284382
"188";13760;"SOPLAVIENTO";39,8504249084249
"189";13780;"TALAIGUA NUEVO";40,6784134615385
"190";13810;"TIQUISIO";39,9658628935831
"191";13836;"TURBACO";44,599390033659
"192";13838;"TURBANÁ";41,488745819398
"193";13873;"VILLANUEVA";40,5822292755788
"194";13894;"ZAMBRANO";41,9084465534466
"195";15001;"TUNJA";47,8568897876087
"196";15022;"ALMEIDA";43,6184615384615
"197";15047;"AQUITANIA";45,0377009507347
"198";15051;"ARCABUCO";45,96
"199";15087;"BELÉN";44,5327189163038
"200";15090;"BERBEO";47,4354945054945
"201";15092;"BETÉITIVA";44,9025044722719
"202";15097;"BOAVITA";45,24819453274
"203";15104;"BOYACÁ";43,4093706293706
"204";15106;"BRICEÑO";44,5323076923077
"205";15109;"BUENAVISTA";44,4266176470588
"206";15131;"CALDAS";45,4955448717949
"207";15135;"CAMPOHERMOSO";48,2830769230769
"208";15162;"CERINZA";45,6612307692308
"209";15172;"CHINAVITA";45,3817948717949
"210";15176;"CHIQUINQUIRÁ";45,4250342327829
"211";15180;"CHISCAS";42,7383668639053
"212";15183;"CHITA";42,8850033444816
"213";15185;"CHITARAQUE";43,5461538461538
"214";15187;"CHIVATÁ";42,9938461538462
"215";15189;"CIÉNEGA";42,6864171864172
"216";15204;"CÓMBITA";46,7275569230769
"217";15212;"COPER";41,8852539912917
"218";15215;"CORRALES";47,01
"219";15218;"COVARACHÍA";43,2242603550296
"220";15223;"CUBARÁ";43,0205950653121
"221";15224;"CUCAITA";45,501141439206
"222";15226;"CUÍTIVA";46,8092307692308
"223";15232;"CHÍQUIZA";41,8261823361823
"224";15236;"CHIVOR";42,2115384615385
"225";15238;"DUITAMA";48,3376487797916
"226";15244;"EL COCUY";44,8007692307692
"227";15248;"EL ESPINO";45,4165967365967
"228";15272;"FIRAVITOBA";46,1488615384615
"229";15276;"FLORESTA";47,5646153846154
"230";15293;"GACHANTIVÁ";42,0753846153846
"231";15296;"GÁMEZA";42,9207435897436
"232";15299;"GARAGOA";45,0081333683382
"233";15317;"GUACAMAYAS";43,2769230769231
"234";15322;"GUATEQUE";44,7998336798337
"235";15325;"GUAYATÁ";45,6369970414201
"236";15332;"GÜICÁN";44,0254843304843
"237";15362;"IZA";45,1930769230769
"238";15367;"JENESANO";45,5592307692308
"239";15368;"JERICÓ";41,8208695652174
"240";15377;"LABRANZAGRANDE";43,6053846153846
"241";15380;"LA CAPILLA";43,0653846153846
"242";15401;"LA VICTORIA";45,2876923076923
"243";15403;"LA UVITA";45,9360291060291
"244";15407;"VILLA DE LEYVA";47,7074587192912
"245";15425;"MACANAL";44,4669230769231
"246";15442;"MARIPÍ";43,7222245322245
"247";15455;"MIRAFLORES";44,8720702116675
"248";15464;"MONGUA";42,6224475524476
"249";15466;"MONGUÍ";45,5943862520458
"250";15469;"MONIQUIRÁ";43,5104733727811
"251";15476;"MOTAVITA";43,2455509355509
"252";15480;"MUZO";43,010796460177
"253";15491;"NOBSA";46,6581037567084
"254";15494;"NUEVO COLÓN";44,4639609644087
"255";15500;"OICATÁ";45,2661538461539
"256";15507;"OTANCHE";42,9194983277592
"257";15511;"PACHAVITA";46,5892307692308
"258";15514;"PÁEZ";45,3709328968903
"259";15516;"PAIPA";49,4785334584115
"260";15518;"PAJARITO";44,0683760683761
"261";15522;"PANQUEBA";42,5959181141439
"262";15531;"PAUNA";43,0574358974359
"263";15533;"PAYA";43,8460355029586
"264";15537;"PAZ DE RÍO";45,1823076923077
"265";15542;"PESCA";43,259652014652
"266";15550;"PISBA";42,4476923076923
"267";15572;"PUERTO BOYACÁ";42,8414067148321
"268";15580;"QUÍPAMA";43,7275452488688
"269";15599;"RAMIRIQUÍ";46,6785336538462
"270";15600;"RÁQUIRA";45,1274911242604
"271";15621;"RONDÓN";43,6740446650124
"272";15632;"SABOYÁ";44,1504877250409
"273";15638;"SÁCHICA";45,2169230769231
"274";15646;"SAMACÁ";44,8126738165681
"275";15660;"SAN EDUARDO";43,7284615384615
"276";15664;"SAN JOSÉ DE PARE";44,1599730094467
"277";15667;"SAN LUIS DE GACENO";43,5307912087912
"278";15673;"SAN MATEO";43,2804175824176
"279";15676;"SAN MIGUEL DE SEMA";45,3338461538462
"280";15681;"SAN PABLO DE BORBUR";41,3285456730769
"281";15686;"SANTANA";44,2255301455301
"282";15690;"SANTA MARÍA";43,4749684741488
"283";15693;"SANTA ROSA DE VITERBO";46,1122175066313
"284";15696;"SANTA SOFÍA";43,1769230769231
"285";15720;"SATIVANORTE";45,2669230769231
"286";15723;"SATIVASUR";45,5553846153846
"287";15740;"SIACHOQUE";45,436788648245
"288";15753;"SOATÁ";45,9587116948093
"289";15755;"SOCOTÁ";43,7067332667333
"290";15757;"SOCHA";44,3757517482518
"291";15759;"SOGAMOSO";48,0083259330373
"292";15761;"SOMONDOCO";44,0379530638853
"293";15762;"SORA";47,3161538461538
"294";15763;"SOTAQUIRÁ";44,4057963163597
"295";15764;"SORACÁ";45,6942928039702
"296";15774;"SUSACÓN";43,5223076923077
"297";15776;"SUTAMARCHÁN";44,8485174825175
"298";15778;"SUTATENZA";41,6043269230769
"299";15790;"TASCO";43,3403473945409
"300";15798;"TENZA";46,3730769230769
"301";15804;"TIBANÁ";45,7019397993311
"302";15806;"TIBASOSA";45,9563640429338
"303";15808;"TINJACÁ";42,030041958042
"304";15810;"TIPACOQUE";44,0353846153846
"305";15814;"TOCA";43,2661401911698
"306";15816;"TOGÜÍ";47,3446153846154
"307";15820;"TÓPAGA";43,1728477905074
"308";15822;"TOTA";44,1492307692308
"309";15832;"TUNUNGUÁ";43,3630769230769
"310";15835;"TURMEQUÉ";46,646023976024
"311";15837;"TUTA";45,1220512820513
"312";15839;"TUTAZÁ";43,6041666666667
"313";15842;"ÚMBITA";44,2890985576923
"314";15861;"VENTAQUEMADA";44,7534703196347
"315";15879;"VIRACACHÁ";44,3392307692308
"316";15897;"ZETAQUIRA";44,3180893300248
"317";17001;"MANIZALES";46,7246095667845
"318";17013;"AGUADAS";43,9735030822836
"319";17042;"ANSERMA";43,4413032923684
"320";17050;"ARANZAZU";42,6219251336898
"321";17088;"BELALCÁZAR";42,5169288606131
"322";17174;"CHINCHINÁ";43,8422574234276
"323";17272;"FILADELFIA";42,7818992511913
"324";17380;"LA DORADA";43,0893928980527
"325";17388;"LA MERCED";43,0782230769231
"326";17433;"MANZANARES";43,1641420118343
"327";17442;"MARMATO";41,0932307692308
"328";17444;"MARQUETALIA";43,9416591251885
"329";17446;"MARULANDA";42,7411923076923
"330";17486;"NEIRA";46,4024601205246
"331";17495;"NORCASIA";42,7338461538462
"332";17513;"PÁCORA";43,5331725985457
"333";17524;"PALESTINA";43,5234581646424
"334";17541;"PENSILVANIA";44,5898051282051
"335";17614;"RIOSUCIO";43,6509748107986
"336";17616;"RISARALDA";44,6022222222222
"337";17653;"SALAMINA";44,5869631410256
"338";17662;"SAMANÁ";43,5950591715976
"339";17665;"SAN JOSÉ";44,0846680716544
"340";17777;"SUPÍA";41,5662935323383
"341";17867;"VICTORIA";41,6096681749623
"342";17873;"VILLAMARÍA";45,7631230538577
"343";17877;"VITERBO";43,710679785331
