integrante;TipoEquipo;SO;ServicePack;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamañoArchivo;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;6000;40;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;7000;40;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;8000;40;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;9000;40;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;10000;44;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;20000;52;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;30000;64;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;40000;72;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;50000;80;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;60000;96;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;70000;108;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;80000;116;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;90000;124;;;;;
4;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;RTF;100000;136;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;1000;24;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;2000;24;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;3000;24;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;4000;28;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;5000;28;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;6000;28;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;7000;28;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;8000;28;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;9000;28;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;10000;32;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;20000;32;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;30000;32;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;40000;32;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;50000;32;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;60000;32;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;70000;36;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;80000;36;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;90000;36;;;;;
5;Escritorio;Windows 7 Ultimate; Service Pack 1;32 bits;NTFS;Microsoft Word;2010;HTM;100000;36;;;;;
