Integrante;TipoEquipo;SO;TipoSO;FormatoDD ;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamañoArchivo KB
3;Portatil;Windows 7 Ultimate;64 bits;NTFS;PDF;1,5 (Acrobat 6.x);PDF;70000;112
3;Portatil;Windows 7 Ultimate;64 bits;NTFS;PDF;1,5 (Acrobat 6.x);PDF;80000;117
3;Portatil;Windows 7 Ultimate;64 bits;NTFS;PDF;1,5 (Acrobat 6.x);PDF;90000;122
3;Portatil;Windows 7 Ultimate;64 bits;NTFS;PDF;1,5 (Acrobat 6.x);PDF;100000;125
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;1000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;2000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;3000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;4000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;5000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;6000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;7000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;8000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;9000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;10000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;20000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;30000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;40000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;50000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;60000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;70000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;80000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;90000;13
4;Portatil;Windows 7 Professional;32 bits;NTFS;microsoft word ;2010;docx;100000;14
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;1000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;2000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;3000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;4000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;5000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;6000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;7000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;8000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;9000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;10000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;20000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;30000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;40000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;50000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;60000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;70000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;80000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;90000;12
5;portátil;Windows 7;32 bits;NTFS;microsoft word ;2007;docx;100000;12
