Integrante;TipoEquipo;SO;TipoSO;FormatoDD;ProcesaTexto;VersionProcesa;Formato;NumLetrasa;TamanoArchivo
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;20000;20
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;30000;32
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;40000;40
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;50000;52
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;60000;60
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;70000;72
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;80000;80
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;90000;88
4;Portátil;Ubuntu;64;ext4;TeXstudio;2,6,2;tex;100000;100
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;1000;4
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;2000;4
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;3000;4
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;4000;4
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;5000;8
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;6000;8
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;7000;8
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;8000;8
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;9000;12
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;10000;12
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;20000;20
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;30000;32
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;40000;40
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;50000;52
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;60000;60
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;70000;72
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;80000;80
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;90000;88
5;Portátil;Windows 7;32;NTFS;Bloc de notas;6,1;txt;100000;100
