;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLOMBIA. NÚMERO DE ALUMNOS MATRICULADOS POR NIVEL EDUCATIVO Y SECTOR;;;;;;;;;;;;;;;;;;;;;;;;;;;
Información definitiva - Año 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Secciones del País;PREESCOLAR;;;;;PRIMARIA;;;;;SECUNDARIA Y MEDIA;;;;;JOVENES Y ADULTOS;;;;;ACELERACION DEL APRENDIZAJE;;;TOTAL;;;
;Total;Oficial;No Oficial;Subsidiada;;Total;Oficial;No Oficial;Subsidiada;;Total;Oficial;No Oficial;Subsidiada;;Total;Oficial;No Oficial;Subsidiada;;Total;Oficial;;Total;Oficial;No Oficial;Subsidiada
RISARALDA;18.022;11.221;6.625;176;;86.372;76.921;8.294;1.157;;82.094;73.021;8.430;643;;22.189;18.943;3.165;81;;390;390;;209.067;180.496;26.514;2.057
SAN ANDRES;1.476;765;711;0;;5.090;4.183;907;0;;5.603;4.481;1.122;0;;696;696;0;0;;0;0;;12.865;10.125;2.740;0
SANTANDER;44.140;24.427;19.582;131;;186.368;155.224;30.251;893;;192.506;165.020;26.472;1.014;;33.560;15.996;10.609;6.955;;491;491;;457.065;361.158;86.914;8.993
SUCRE;27.503;20.356;6.115;1.032;;108.502;95.915;7.289;5.298;;98.346;91.384;4.757;2.205;;15.242;10.787;3.077;1.378;;149;149;;249.742;218.591;21.238;9.913
TOLIMA;27.035;19.223;7.772;40;;144.209;128.145;15.760;304;;135.193;123.166;11.692;335;;36.258;21.433;4.991;9.834;;118;118;;342.813;292.085;40.215;10.513
VALLE;104.240;40.670;44.505;19.065;;405.224;240.405;83.810;81.009;;395.841;258.432;82.710;54.699;;81.364;50.103;24.754;6.507;;2.248;2.248;;988.917;591.858;235.779;161.280
VAUPES;355;355;0;0;;5.398;5.398;0;0;;2.943;2.943;0;0;;320;237;83;0;;0;0;;9.016;8.933;83;0
VICHADA;1.038;931;107;0;;11.563;11.538;25;0;;5.259;5.259;0;0;;440;440;0;0;;0;0;;18.300;18.168;132;0
 TOTAL NACIONAL;1.071.429;607.058;402.345;62.026;;4.674.511;3.752.970;679.387;242.154;;4.369.161;3.493.677;655.413;220.071;;762.691;537.038;158.384;67.269;;25.056;25.056;;10.902.848;8.415.799;1.895.529;591.520
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fuente: DANE - Investigación de Educación Formal - Formulario C600;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nota: Para una desagregación por municipio o información adicional, favor dirigirse al Banco de Datos del DANE.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha de publicación: Agosto 9 de 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;
